1,400,2,TRUE,FALSE,FALSE,FALSE,FALSE,0,10-11-29-30-32
2,95.1,2,FALSE,TRUE,FALSE,FALSE,FALSE,0,10-13-14-29-30-32
3,50,2,FALSE,TRUE,FALSE,TRUE,FALSE,0,10-13-16-17-29-30-32
4,25.1,2,FALSE,FALSE,TRUE,TRUE,FALSE,0,10-13-16-20-21-29-30-32
5,25,1,FALSE,FALSE,TRUE,TRUE,FALSE,0,10-13-16-20-24-29-30-32
6,25,2,FALSE,FALSE,TRUE,TRUE,TRUE,3,10-13-16-20-24-29-32
7,49.9,2,FALSE,FALSE,TRUE,TRUE,FALSE,0,-
8,95,2,FALSE,TRUE,FALSE,TRUE,FALSE,0,-
9,399.9,2,FALSE,TRUE,FALSE,FALSE,FALSE,0,-
10,25,0,FALSE,FALSE,TRUE,TRUE,TRUE,1,BV stmt 29
11,0,2,FALSE,FALSE,TRUE,TRUE,TRUE,3,Extreme range test
12,1000,2,TRUE,FALSE,FALSE,FALSE,FALSE,0,Extreme range test
